Experiment,Vectorizer,Accuracy,Precision,Recall,F1,Features,Feature Time (s),Training Time (s)
Baseline,tfidf,0.9784078975005251,0.9729444263893403,0.9851102336294834,0.9783913374237649,477076,43.64348504203372,0.9125997920054942
C=0.01,tfidf,0.9477000630119723,0.9330793045963325,0.9669299111549852,0.9476169879315897,477076,43.95955520798452,0.5157097079791129
C=0.1,tfidf,0.971854652383953,0.9641933397995474,0.9813260941099046,0.9718286658931121,477076,44.70073120784946,0.397660749964416
C=0.5,tfidf,0.9782818735559756,0.9723236750263777,0.9855215531424811,0.9782645526438777,477076,43.98784204083495,0.6768333329819143
C=2,tfidf,0.9786179374081075,0.973724884080371,0.9846989141164857,0.9786022770054585,477076,44.71265475009568,1.318211124977097
C=10,tfidf,0.9788699852972065,0.9741231996094067,0.9847811780190853,0.9788547012841128,477076,43.3464956660755,4.262267374899238
mdf=2,tfidf,0.9793320730938878,0.9744549300357956,0.985357025337282,0.9793169827384718,550000,44.2147661249619,0.9426692079287022
mdf=10,tfidf,0.9791220331863054,0.9737505079236083,0.9856860809476802,0.979106166382959,195987,43.746193333063275,0.707804957870394
mdf=20,tfidf,0.9781978575929426,0.9725493380979453,0.9851102336294834,0.9781808815295827,87429,44.034945415798575,0.6133632080163807
Removed source names,tfidf,0.971518588531821,0.9675737330943458,0.976966107272129,0.9714989420566307,475888,52.84444025019184,1.0181571659632027
Unigrams Only,tfidf,0.9758034026465028,0.9704257393565161,0.9825600526488977,0.975784845050756,70042,17.363326041027904,0.544079750077799
Hinge Loss,tfidf,0.9789540012602395,0.974281761211036,0.9847811780190853,0.9789388730834505,477076,43.53526270808652,5.77904412499629
Baseline,count,0.9721067002730519,0.9675345809601302,0.9782000658111221,0.9720864610149446,477076,42.742896291892976,108.99719212506898
C=0.01,count,0.9760554505356017,0.9698296836982968,0.9837117472852912,0.9760358386167396,477076,45.52209991705604,8.510961625026539
C=0.1,count,0.9739130434782609,0.9689405642735182,0.9803389272787101,0.9738935792282115,477076,43.77302787499502,44.04346483387053
C=0.5,count,0.9724007561436673,0.9679335883454057,0.9783645936163211,0.9723809173968603,477076,43.472040915861726,104.66646954207681
C=2,count,0.9719806763285024,0.9674505655464236,0.978035538005923,0.9719604090586544,477076,47.14785766694695,110.30435674986802
C=10,count,0.9715605965133375,0.967271839127249,0.9773774267851267,0.9715404095594935,477076,46.77325079101138,99.98746508313343
mdf=2,count,0.9724427641251838,0.9680123718053069,0.9783645936163211,0.9724230176659052,550000,46.56613412499428,106.09349858295172
mdf=10,count,0.9707624448645242,0.9668404758025094,0.9762257321487331,0.9707422768014969,195987,42.416182584129274,68.32517974986695
mdf=20,count,0.9694181894559967,0.9656886715566422,0.9747449819019415,0.96939736346516,87429,42.04991591582075,68.8780026671011
Unigrams Only,count,0.9665616467128755,0.9623901009443178,0.9725238565317539,0.9665378364002777,70042,15.047187709016725,58.90421583293937
Hinge Loss,count,0.971686620457887,0.9672798307016116,0.9776242184929254,0.9716663321750307,477076,46.060026332968846,12.990669708000496
Hinge Loss+C=10+mdf=2,tfidf,0.9795001050199538,0.9760117493472585,0.9840408028956894,0.9794867674990542,550000,46.51633195905015,29.885626500006765
