Experiment,Vectorizer,Accuracy,Precision,Recall,F1,Features,Feature Time (s),Training Time (s)
Baseline,tfidf,0.9678218861583701,0.9595706907682375,0.9782000658111221,0.9677905081677439,477076,45.90350374998525,2.6619840001221746
Unigrams Only,tfidf,0.9671917664356228,0.9603399433427762,0.976061204343534,0.9671628837188619,70042,16.5648882498499,0.6292143750470132
Kept Stopwords,tfidf,0.9684940138626339,0.9613331176185084,0.9776242184929254,0.9684657243446477,523593,51.00288329087198,2.967405374860391
Title Only,tfidf,0.8973745011552194,0.8860799745607759,0.9169134583744653,0.8972176281700783,15985,8.93196754110977,0.04581887484528124
Text Only,tfidf,0.9554295316110061,0.9477762531277747,0.9659427443237907,0.9553864200109012,461091,46.67163054202683,1.128029708052054
Text and Title combined,tfidf,0.9579920184835119,0.9524659312134978,0.9659427443237907,0.9579578135720492,471771,54.35768175008707,0.7341867501381785
min_df=2,tfidf,0.9675278302877547,0.959919191919192,0.9772128989799276,0.9674975993019134,550000,54.190024625044316,1.6728856251575053
min_df=10,tfidf,0.9684940138626339,0.9608112475759535,0.9782000658111221,0.9684646014415952,195987,51.41876445803791,0.9371075420640409
Removed source names,tfidf,0.95765595463138,0.9547976501305483,0.9626521882198091,0.9576284049980466,475888,56.33104724995792,1.018176499987021
Baseline,count,0.9768956101659315,0.9710227272727273,0.9841230667982889,0.9768772385072506,477076,52.167171417037025,5.0277346251532435
Unigrams Only,count,0.9724427641251838,0.9664935907837092,0.980009871668312,0.9724204578005354,70042,17.73829241702333,2.4580167909152806
Removed source names,count,0.9671077504725898,0.9643936300530829,0.9714544257979598,0.9670871193888291,475888,54.45161424996331,4.698335958877578
min_df=2,count,0.9765595463137996,0.9716167859466494,0.9828068443566963,0.9765422178869341,550000,49.08360195811838,4.687068791128695
min_df=10,count,0.9759294265910523,0.9702801461632156,0.9829713721618953,0.9759105710676896,195987,43.58833450009115,3.2469817919190973
min_df=20,count,0.9752572988867885,0.969554274579849,0.9823955248436986,0.9752378001814137,87429,43.30042279092595,2.588516167132184
